,EXECUTION_DATE,team,num,name,min,pts,ass,reb,stl,blk,to,foul,%,2%,3%,3#,3#/,2#,2#/,1#,1#/,EFF
88,2026/01/25,LAL,17,Drew Timme,PT08M25.00S,0,1,3,2,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,-4.0
89,2026/01/25,DAL,32,Cooper Flagg,PT34M19.00S,16,6,7,2,0,0,3,0.35,0.4,0.2,1,5,6,15,1,2,-4.0
90,2026/01/25,DAL,16,Caleb Martin,PT23M39.00S,17,1,3,1,2,0,3,0.6,0.5,0.75,3,4,3,6,2,2,14.0
91,2026/01/25,DAL,7,Dwight Powell,PT23M47.20S,0,2,7,2,1,0,2,0.0,0.0,0.0,0,0,0,2,0,0,13.0
92,2026/01/25,DAL,00,Max Christie,PT34M34.90S,24,3,2,1,0,0,1,0.444444444444444,0.5,0.4,4,10,4,8,4,4,-9.0
93,2026/01/25,DAL,13,Naji Marshall,PT36M59.00S,21,2,11,1,0,3,3,0.466666666666667,0.583333333333333,0.0,0,3,7,12,7,10,-8.0
94,2026/01/25,DAL,10,Brandon Williams,PT23M11.00S,20,4,4,0,0,2,2,0.470588235294118,0.5,0.0,0,1,8,16,4,5,-24.0
95,2026/01/25,DAL,21,Daniel Gafford,PT16M15.90S,2,1,2,0,2,0,2,0.0,0.0,0.0,0,0,0,1,2,2,-5.0
96,2026/01/25,DAL,25,P.J. Washington,PT25M30.00S,2,0,3,1,1,1,2,0.2,0.25,0.0,0,1,1,4,0,0,-9.0
97,2026/01/25,DAL,23,Jeremiah Robinson-Earl,PT03M04.00S,0,0,1,0,0,1,0,0.0,0.0,0.0,0,0,0,0,0,0,-4.0
98,2026/01/25,DAL,31,Klay Thompson,PT14M26.00S,6,1,3,2,0,3,1,0.4,0.0,0.4,2,5,0,0,0,2,5.0
99,2026/01/25,DAL,9,Ryan Nembhard,PT04M14.00S,2,2,0,0,0,1,0,0.0,0.0,0.0,0,0,0,1,2,2,1.0
100,2026/01/25,MIA,9,Pelle Larsson,PT25M16.40S,20,3,2,0,1,2,2,0.636363636363636,0.8,0.5,3,6,4,5,3,3,18.0
101,2026/01/25,MIA,22,Andrew Wiggins,PT26M38.50S,17,6,6,1,0,1,2,0.5,0.5714285714285711,0.4,2,5,4,7,3,3,14.0
102,2026/01/25,MIA,13,Bam Adebayo,PT31M01.00S,26,2,15,0,1,3,1,0.42105263157894696,0.444444444444444,0.4,4,10,4,9,6,6,19.0
103,2026/01/25,MIA,24,Norman Powell,PT24M53.00S,13,6,4,0,0,0,1,0.272727272727273,0.428571428571429,0.0,0,4,3,7,7,10,15.0
104,2026/01/25,MIA,25,Kasparas Jakučionis,PT16M55.10S,12,1,5,0,0,0,1,0.666666666666666,0.666666666666666,0.666666666666666,2,3,2,3,2,2,7.0
105,2026/01/25,MIA,11,Jaime Jaquez Jr.,PT27M38.40S,9,5,7,1,0,3,2,0.4,0.4,0.0,0,0,4,10,1,1,22.0
